Cartella;Istanza;Clienti;Run;Tempo_Totale_Run;Best_Costo_Della_Run
n100;R101.txt;100;3;256.9830889701843;1695.5
n100;R104.txt;100;1;353.2096793651581;1041.1999999999996
n100;R104.txt;100;2;346.19084572792053;1027.3999999999996
n100;R104.txt;100;3;348.1302001476288;1028.3999999999992
n100;R108.txt;100;1;357.93785572052;979.2999999999997
n100;R108.txt;100;2;355.82855677604675;975.0
n100;R108.txt;100;3;360.39912819862366;978.1999999999996
n100;R201.txt;100;1;348.63686442375183;1167.1999999999998
n100;R201.txt;100;2;374.1266541481018;1173.1
n100;R201.txt;100;3;392.2346706390381;1211.9999999999998
n100;R204.txt;100;1;869.239669084549;749.9999999999998
n100;R204.txt;100;2;858.0720636844635;763.9999999999998
n100;R204.txt;100;3;807.592741727829;784.5999999999999
n100;R208.txt;100;1;1300.5135555267334;749.4999999999998
n100;R208.txt;100;2;1012.6420652866364;725.3999999999997
n100;R208.txt;100;3;1201.4402649402618;723.8999999999997
n100;RC101.txt;100;1;294.3145525455475;1707.0999999999997
n100;RC101.txt;100;2;278.49065947532654;1713.099999999999
n100;RC101.txt;100;3;271.78992223739624;1697.5999999999997
n100;RC104.txt;100;1;339.3577914237976;1224.3999999999996
n100;RC104.txt;100;2;350.6501214504242;1159.9999999999998
n100;RC104.txt;100;3;329.3103837966919;1210.3999999999996
n100;RC108.txt;100;1;316.36275815963745;1201.0999999999997
n100;RC108.txt;100;2;321.8844120502472;1192.8999999999999
n100;RC108.txt;100;3;326.13618755340576;1169.1
n100;RC201.txt;100;1;360.1815617084503;1286.5
n100;RC201.txt;100;2;348.0985634326935;1310.6
n100;RC201.txt;100;3;345.2806510925293;1291.2999999999997
n100;RC204.txt;100;1;739.3754303455353;839.1999999999998
n100;RC204.txt;100;2;814.842859506607;832.0999999999998
n100;RC204.txt;100;3;684.00363945961;812.6999999999997
n100;RC208.txt;100;1;643.0038430690765;855.7999999999994
n100;RC208.txt;100;2;562.7322340011597;802.6999999999998
n100;RC208.txt;100;3;522.8213355541229;852.9999999999997
